What is a system that consists of moving between different independent steps?,state machine,An analog version of this is a flow chart,A simple computer program may jump between one of several states depending on user input,,
"What is the final state of a system, as it reaches equilibrium",steady-state response,This occurs as time approaches infinity,Many simple systems start with an initial response and initial growth but wind up at some steady-state response,,
What kind of tool consists of serpentine wire resistances changing based on length?,strain gauge,"As a heavy object elongates the wires, this tool can measure a particular metric",A simple strain guage can be made of just some wire. There are many creative ways to measure anything.,,
What kind of component has high capacitance and energy density?,super capacitor,This has a higher power density than batteries,,,
What does the acronym TCR stand for?,temperature coefficient of resistance,Resistors may change in value depending on the environment,How much resistance changes due to temperature: dR / (R0*dT) * 10^-6,,
What kind of resistor has a value that depends on temperature?,thermistor,It's a resistor that changes based on thermal conditions,,,
What does the acronym TME stand for?,test and measuring equipment,You will use these tools for a DUT,Proper testing and measurement of devices throughout development will minimize errors and improve consistency,,
What type of function relates the output based on the input?,transfer function,The relationship is Vo divided by Vi,"In large circuits, it may be useful to have the transfer function of each component to easily obtain the final output",,
What kind of amplifier has a feedback loop with a shunt-shunt topology,trans resistance amplifier,,,,
What kind of component is a triode for alternating current?,triac,A three terminal component that conducts current in either direction,,,
What does the acronym UART stand for?,universal asynchronus receiver transmitter,This three-wire serial bus is a simple way to communicate between devices,,,
What does the acronym VoIP stand for?,voice over internet protocol,This is used in applications like Skype and Google Hangouts,"VoIP is a way to transmit voice calls over the Internet, making long-distance calling cheaper and higher quality",,
What kind of circuit component has an output that is fraction of the input?,voltage divider,This can be made with two resistors,"There is a vin, a resistor, a vout, and another resistor to ground. Vout is Z2 / (Z2+Z1) * Vin",,
What is a hardware component that checks frozen processes and resets the device?,watchdog timer,"This component, if enabled, will reset after a certain time",,,
What does the acronym ZCD stand for?,zero crossing detector,This can be implemented as a positive/negative checker for a signal like a square wave,,,
